#: table_doi: 10.17182/hepdata.62277.v1/t3
#: name: Table 3
#: description: Centrality dependence of elliptic flow, integrated over the pT range 0.2 < pT < 5.0 GeV, estimated with two- and multi-particle correlation techniques.

#: data_file: Table3.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive | Angular Correlation
#: keyword cmenergies: 2760.0
#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{2},error +,error -
2.5,0.0288,0.0005,-0.0005
7.5,0.044,0.0005,-0.0005
15.0,0.0648,0.0004,-0.0004
25.0,0.0843,0.0005,-0.0005
35.0,0.0968,0.0006,-0.0006
45.0,0.1043,0.0008,-0.0008
55.0,0.1059,0.001,-0.001
65.0,0.1049,0.0013,-0.0013
75.0,0.1048,0.0023,-0.0023

#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{2} (same charge),error +,error -
2.5,0.0275,0.0005,-0.0005
7.5,0.0427,0.0005,-0.0005
15.0,0.0635,0.0004,-0.0004
25.0,0.0834,0.0004,-0.0004
35.0,0.0955,0.0005,-0.0005
45.0,0.1028,0.0007,-0.0007
55.0,0.104,0.0009,-0.0009
65.0,0.1017,0.0013,-0.0013
75.0,0.1008,0.0031,-0.0031

#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{4},error +,error -
2.5,0.0179,0.0043,-0.0043
7.5,0.0324,0.0017,-0.0017
15.0,0.0558,0.001,-0.001
25.0,0.0731,0.0011,-0.0011
35.0,0.0839,0.0012,-0.0012
45.0,0.0867,0.0018,-0.0018
55.0,0.082,0.0028,-0.0028
65.0,0.0778,0.0052,-0.0052
75.0,-,0,0

#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{4} (same charge),error +,error -
2.5,0.0157,0.0063,-0.0063
7.5,0.0317,0.0018,-0.0018
15.0,0.0557,0.0009,-0.0009
25.0,0.073,0.001,-0.001
35.0,0.0833,0.0011,-0.0011
45.0,0.088,0.0017,-0.0017
55.0,0.0807,0.0039,-0.0039
65.0,0.0777,0.0079,-0.0079
75.0,-,0,0

#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{q-dist},error +,error -
2.5,0.0184,0.0029,-0.0029
7.5,0.0312,0.0016,-0.0016
15.0,0.0541,0.0006,-0.0006
25.0,0.0723,0.0007,-0.0007
35.0,0.082,0.0009,-0.0009
45.0,0.0847,0.0013,-0.0013
55.0,0.0807,0.0024,-0.0024
65.0,0.08,0.004,-0.004
75.0,0.0695,0.0146,-0.0146

#: ETARAP,-0.8-0.8
#: PT [GeV],0.2-5.0
#: RE,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],2760.0
CENTRALITY [PCT],V2{LYZ},error +,error -
2.5,-,0,0
7.5,0.0276,0.0044,-0.0044
15.0,0.0534,0.0007,-0.0007
25.0,0.072,0.0007,-0.0007
35.0,0.0821,0.0009,-0.0009
45.0,0.0853,0.0013,-0.0013
55.0,0.0816,0.0025,-0.0025
65.0,0.0698,0.019,-0.019
75.0,0.087,0.0167,-0.0167

